Well,Gene
D08,12_ATXN2
C09,15_CAV1
D02,17_CDH11
F11,18_COL24A1
F05,20_DGKG
E05,21_EFEMP1
B03,29_FNDC3B
G04,34_LMO7
C10,38_MYOF
D09,46_RUNX2
E10,50_TMCO1
G09,52_TRIOBP
B07,57_Human_0001
E03,58_Human_0003
D10,59_Human_0005
D03,60_Human_0007
D05,61_Human_0009
F04,12_ATXN2
E07,15_CAV1
G07,17_CDH11
F03,18_COL24A1
B10,20_DGKG
D07,21_EFEMP1
C11,29_FNDC3B
C02,34_LMO7
E08,38_MYOF
E04,46_RUNX2
G06,50_TMCO1
F02,52_TRIOBP
F09,57_Human_0001
D06,58_Human_0003
F07,59_Human_0005
C05,60_Human_0007
F10,61_Human_0009
B04,12_ATXN2
B08,15_CAV1
C03,17_CDH11
C04,18_COL24A1
C06,20_DGKG
C07,21_EFEMP1
C08,29_FNDC3B
D04,34_LMO7
E09,38_MYOF
D11,46_RUNX2
E02,50_TMCO1
E06,52_TRIOBP
E11,57_Human_0001
F06,58_Human_0003
F08,59_Human_0005
G03,60_Human_0007
G10,61_Human_0009
