Well,Gene
D06,05_ANAPC1
G09,09_ANKH
D08,11_ARHGEF12
G03,23_EMID1
C10,25_FBXO32
E08,30_GAS7
C02,32_KALRN
B07,37_MECOM
B06,41_PKHD1
C04,54_ZNF280D
E07,57_Human_0001
D11,58_Human_0003
E05,59_Human_0005
E04,60_Human_0007
F05,61_Human_0009
B04,62_CYP1B1
F07,65_LTBP2
F04,05_ANAPC1
C07,09_ANKH
G04,11_ARHGEF12
F03,23_EMID1
E09,25_FBXO32
F09,30_GAS7
E10,32_KALRN
E03,37_MECOM
D02,41_PKHD1
F10,54_ZNF280D
C06,57_Human_0001
D05,58_Human_0003
C11,59_Human_0005
D07,60_Human_0007
G10,61_Human_0009
B10,62_CYP1B1
D04,65_LTBP2
B09,05_ANAPC1
C03,09_ANKH
C05,11_ARHGEF12
C08,23_EMID1
E02,25_FBXO32
G05,30_GAS7
D09,32_KALRN
D10,37_MECOM
C09,41_PKHD1
E06,54_ZNF280D
E11,57_Human_0001
F02,58_Human_0003
F06,59_Human_0005
F08,60_Human_0007
F11,61_Human_0009
D03,62_CYP1B1
G06,65_LTBP2
