Well,Gene
E05,07_ANGPT2
F05,08_ANGPTL2
D08,09_ANKH
E09,11_ARHGEF12
D02,15_CAV1
C06,16_CAV2
C02,17_CDH11
E03,34_LMO7
G05,35_LMX1B
B10,36_ME3
C07,48_TES
C08,50_TMCO1
F06,57_Human_0001
G08,58_Human_0003
B05,59_Human_0005
E11,60_Human_0007
D10,61_Human_0009
G03,07_ANGPT2
C10,08_ANGPTL2
B08,09_ANKH
B04,11_ARHGEF12
D07,15_CAV1
D09,16_CAV2
E04,17_CDH11
F09,34_LMO7
F08,35_LMX1B
E08,36_ME3
D05,48_TES
F03,50_TMCO1
C03,57_Human_0001
D03,58_Human_0003
C11,59_Human_0005
F07,60_Human_0007
E06,61_Human_0009
B03,07_ANGPT2
B07,08_ANGPTL2
C04,09_ANKH
C05,11_ARHGEF12
C09,15_CAV1
D04,16_CAV2
D06,17_CDH11
D11,34_LMO7
E02,35_LMX1B
E07,36_ME3
F11,48_TES
F02,50_TMCO1
F04,57_Human_0001
F10,58_Human_0003
E10,59_Human_0005
G06,60_Human_0007
G10,61_Human_0009
