Well,Gene
E05,01_ABCA1
C05,07_ANGPT2
F06,10_ANTXR1
G09,19_CTTNBP2
G06,33_KREMEN1
D10,42_PLEKHA7
G05,43_PRSS23
D11,51_TNS1
C02,53_TXNRD2
D02,55_ABO
E06,57_Human_0001
E07,58_Human_0003
D08,59_Human_0005
F03,60_Human_0007
E10,61_Human_0009
B07,66_MYOC
E11,67_TEK
E08,01_ABCA1
G08,07_ANGPT2
C04,10_ANTXR1
D07,19_CTTNBP2
C06,33_KREMEN1
F05,42_PLEKHA7
D03,43_PRSS23
B09,51_TNS1
B03,53_TXNRD2
B06,55_ABO
F11,57_Human_0001
F04,58_Human_0003
E09,59_Human_0005
F09,60_Human_0007
D05,61_Human_0009
C11,66_MYOC
B05,67_TEK
B08,01_ABCA1
C03,07_ANGPT2
C07,10_ANTXR1
C08,19_CTTNBP2
C09,33_KREMEN1
E02,42_PLEKHA7
D04,43_PRSS23
D06,51_TNS1
D09,53_TXNRD2
C10,55_ABO
E03,57_Human_0001
E04,58_Human_0003
F02,59_Human_0005
F07,60_Human_0007
G10,61_Human_0009
F10,66_MYOC
F08,67_TEK
