Well,Gene
E05,03_AFAP1
E03,07_ANGPT2
C11,12_ATXN2
D07,17_CDH11
D06,19_CTTNBP2
E04,21_EFEMP1
E07,27_FERMT2
B06,33_KREMEN1
C07,43_PRSS23
B05,50_TMCO1
C09,57_Human_0001
G10,58_Human_0003
F06,59_Human_0005
D03,60_Human_0007
C05,61_Human_0009
F05,62_CYP1B1
D10,65_LTBP2
D11,03_AFAP1
D05,07_ANGPT2
D04,12_ATXN2
F07,17_CDH11
E10,19_CTTNBP2
G03,21_EFEMP1
F03,27_FERMT2
C08,33_KREMEN1
C10,43_PRSS23
E09,50_TMCO1
F10,57_Human_0001
B04,58_Human_0003
C03,59_Human_0005
F02,60_Human_0007
G07,61_Human_0009
D09,62_CYP1B1
E06,65_LTBP2
B03,03_AFAP1
B08,07_ANGPT2
B10,12_ATXN2
C02,17_CDH11
C04,19_CTTNBP2
C06,21_EFEMP1
D02,27_FERMT2
D08,33_KREMEN1
E02,43_PRSS23
E08,50_TMCO1
E11,57_Human_0001
F04,58_Human_0003
F08,59_Human_0005
F09,60_Human_0007
F11,61_Human_0009
G05,62_CYP1B1
G09,65_LTBP2
