Well,Gene
D02,02_ADAMTS6
B10,06_ANGPT1
E09,09_ANKH
F03,10_ANTXR1
G04,13_BCAS3
C09,14_CAPZA1
C03,28_FMNL2
E10,32_KALRN
F05,36_ME3
F10,38_MYOF
G09,41_PKHD1
D11,53_TXNRD2
B08,57_Human_0001
C06,58_Human_0003
D05,59_Human_0005
D09,60_Human_0007
D08,61_Human_0009
B09,02_ADAMTS6
G10,06_ANGPT1
E05,09_ANKH
B06,10_ANTXR1
B03,13_BCAS3
D07,14_CAPZA1
D10,28_FMNL2
B05,32_KALRN
E03,36_ME3
G05,38_MYOF
C11,41_PKHD1
F09,53_TXNRD2
D04,57_Human_0001
E08,58_Human_0003
F02,59_Human_0005
F11,60_Human_0007
D03,61_Human_0009
C05,02_ADAMTS6
C04,06_ANGPT1
C02,09_ANKH
C07,10_ANTXR1
C08,13_BCAS3
C10,14_CAPZA1
D06,28_FMNL2
E02,32_KALRN
E04,36_ME3
E06,38_MYOF
E07,41_PKHD1
E11,53_TXNRD2
F04,57_Human_0001
F06,58_Human_0003
F07,59_Human_0005
F08,60_Human_0007
G07,61_Human_0009
