Well,Gene
E03,02_ADAMTS6
G07,04_ALDH9A1
D05,10_ANTXR1
B07,18_COL24A1
F11,19_CTTNBP2
E05,23_EMID1
D02,27_FERMT2
C03,30_GAS7
E06,33_KREMEN1
E07,42_PLEKHA7
F09,43_PRSS23
D11,47_SPTBN1
C02,57_Human_0001
G08,58_Human_0003
E09,59_Human_0005
E02,60_Human_0007
G03,61_Human_0009
D08,66_MYOC
F10,02_ADAMTS6
B08,04_ALDH9A1
G10,10_ANTXR1
D04,18_COL24A1
F07,19_CTTNBP2
G09,23_EMID1
C07,27_FERMT2
C10,30_GAS7
F02,33_KREMEN1
E04,42_PLEKHA7
G04,43_PRSS23
D09,47_SPTBN1
F04,57_Human_0001
C04,58_Human_0003
B10,59_Human_0005
F05,60_Human_0007
B06,61_Human_0009
C05,66_MYOC
B03,02_ADAMTS6
D03,04_ALDH9A1
B09,10_ANTXR1
C06,18_COL24A1
C08,19_CTTNBP2
C09,23_EMID1
C11,27_FERMT2
B04,30_GAS7
D06,33_KREMEN1
D07,42_PLEKHA7
D10,43_PRSS23
E08,47_SPTBN1
E10,57_Human_0001
E11,58_Human_0003
F03,59_Human_0005
F06,60_Human_0007
F08,61_Human_0009
G05,66_MYOC
