Well,Gene
D11,06_ANGPT1
C07,14_CAPZA1
D06,20_DGKG
E03,21_EFEMP1
C05,22_EMCN
F03,28_FMNL2
C06,29_FNDC3B
F02,32_KALRN
D04,38_MYOF
E11,53_TXNRD2
G08,55_ABO
G09,57_Human_0001
G05,58_Human_0003
F08,59_Human_0005
D03,60_Human_0007
E10,61_Human_0009
D05,63_FOXC1
E08,06_ANGPT1
F09,14_CAPZA1
F07,20_DGKG
F11,21_EFEMP1
G10,22_EMCN
C09,28_FMNL2
E05,29_FNDC3B
E09,32_KALRN
D02,38_MYOF
D10,53_TXNRD2
E02,55_ABO
G03,57_Human_0001
D08,58_Human_0003
B05,59_Human_0005
B07,60_Human_0007
C02,61_Human_0009
E04,63_FOXC1
B04,06_ANGPT1
B08,14_CAPZA1
B10,20_DGKG
C03,21_EFEMP1
C04,22_EMCN
C08,28_FMNL2
C10,29_FNDC3B
C11,32_KALRN
D07,38_MYOF
D09,53_TXNRD2
E06,55_ABO
E07,57_Human_0001
F04,58_Human_0003
F05,59_Human_0005
F06,60_Human_0007
F10,61_Human_0009
G04,63_FOXC1
