Well,Gene
B10,02_ADAMTS6
E08,06_ANGPT1
F10,14_CAPZA1
E10,22_EMCN
F08,26_FER
F04,28_FMNL2
G03,31_GNB1L
D03,40_PDE7B
E07,44_PTPRJ
E03,47_SPTBN1
D04,48_TES
D06,57_Human_0001
C09,58_Human_0003
C05,59_Human_0005
B06,60_Human_0007
D08,61_Human_0009
B07,63_FOXC1
G07,64_GMDS
D02,02_ADAMTS6
F11,06_ANGPT1
C03,14_CAPZA1
C04,22_EMCN
G05,26_FER
F06,28_FMNL2
G09,31_GNB1L
E06,40_PDE7B
E05,44_PTPRJ
F02,47_SPTBN1
E04,48_TES
D05,57_Human_0001
D07,58_Human_0003
C02,59_Human_0005
D09,60_Human_0007
B04,61_Human_0009
C08,63_FOXC1
E11,64_GMDS
C10,02_ADAMTS6
B08,06_ANGPT1
B09,14_CAPZA1
C06,22_EMCN
C07,26_FER
B05,28_FMNL2
D10,31_GNB1L
C11,40_PDE7B
D11,44_PTPRJ
E02,47_SPTBN1
E09,48_TES
G10,57_Human_0001
F05,58_Human_0003
F07,59_Human_0005
F09,60_Human_0007
G04,61_Human_0009
G06,63_FOXC1
F03,64_GMDS
