Well,Gene
F10,03_AFAP1
F11,05_ANAPC1
E02,12_ATXN2
G05,24_ETS1
C08,26_FER
E11,40_PDE7B
D09,45_RALGPS1
F02,46_RUNX2
F05,49_TIMP3
B10,51_TNS1
D03,54_ZNF280D
E09,57_Human_0001
G10,58_Human_0003
F07,59_Human_0005
D04,60_Human_0007
D06,61_Human_0009
C05,62_CYP1B1
B06,03_AFAP1
F03,05_ANAPC1
B08,12_ATXN2
C02,24_ETS1
E06,26_FER
F06,40_PDE7B
F04,45_RALGPS1
G07,46_RUNX2
B03,49_TIMP3
C03,51_TNS1
C07,54_ZNF280D
D05,57_Human_0001
E05,58_Human_0003
E07,59_Human_0005
D10,60_Human_0007
C06,61_Human_0009
D11,62_CYP1B1
B09,03_AFAP1
C04,05_ANAPC1
C09,12_ATXN2
C10,24_ETS1
C11,26_FER
D02,40_PDE7B
D07,45_RALGPS1
D08,46_RUNX2
E03,49_TIMP3
E04,51_TNS1
E08,54_ZNF280D
E10,57_Human_0001
F08,58_Human_0003
F09,59_Human_0005
G04,60_Human_0007
G06,61_Human_0009
G09,62_CYP1B1
