Well,Gene
B05,03_AFAP1
B04,04_ALDH9A1
F02,08_ANGPTL2
E06,13_BCAS3
C05,16_CAV2
C06,24_ETS1
D02,27_FERMT2
E04,35_LMX1B
B10,36_ME3
C07,39_PARD3B
F09,45_RALGPS1
G06,49_TIMP3
F08,56_TEX41
D05,57_Human_0001
C04,58_Human_0003
C10,59_Human_0005
B03,60_Human_0007
F10,61_Human_0009
G09,03_AFAP1
F11,04_ALDH9A1
D11,08_ANGPTL2
D04,13_BCAS3
E02,16_CAV2
B06,24_ETS1
C02,27_FERMT2
F06,35_LMX1B
F07,36_ME3
F03,39_PARD3B
F04,45_RALGPS1
E09,49_TIMP3
B07,56_TEX41
E11,57_Human_0001
C03,58_Human_0003
F05,59_Human_0005
E05,60_Human_0007
D09,61_Human_0009
D08,03_AFAP1
C08,04_ALDH9A1
C09,08_ANGPTL2
C11,13_BCAS3
D03,16_CAV2
D06,24_ETS1
D07,27_FERMT2
B08,35_LMX1B
D10,36_ME3
E03,39_PARD3B
E07,45_RALGPS1
E08,49_TIMP3
E10,56_TEX41
G03,57_Human_0001
G05,58_Human_0003
G07,59_Human_0005
G08,60_Human_0007
G10,61_Human_0009
